# TESS ephemerides
#
# source: examples/ephem/tess.tm
# start:
#  UTC: 2018-04-20T20:00:00
#   ET: 577526469.186
# end:
#  UTC: 2018-06-30T00:00:00
#   ET: 583588869.184
# increment: 3600.0s
#
# time is TESS epoch in seconds
# positions are relative to the solar system barycenter, in km
# velocities in km/s
#
# time, x, y, z, vx, vy, vz
499.03701515,-117211494.415,-85290561.3193,-37005402.017,17.8355337885,-21.649687833,-9.3122776307
499.045147445,-117147263.369,-85368497.3214,-37038924.0423,17.8483789265,-21.6481024173,-9.31107527718
499.053397234,-117082986.098,-85446427.7402,-37072441.7997,17.8612144151,-21.6465865544,-9.30990676624
499.061765356,-117018662.637,-85524352.8321,-37105955.4134,17.8740396716,-21.6451436041,-9.30877355639
499.070252687,-116954293.025,-85602272.8658,-37139465.0134,17.8868541122,-21.6437770442,-9.30767716246
499.078860138,-116889877.301,-85680188.1228,-37172970.7351,17.8996571518,-21.6424904778,-9.3066191589
499.087588658,-116825415.508,-85758098.8977,-37206472.7194,17.9124482037,-21.6412876406,-9.30560118344
499.096439234,-116760907.69,-85836005.4989,-37239971.1137,17.9252266793,-21.6401724097,-9.30462494098
499.105412895,-116696353.892,-85913908.249,-37273466.0712,17.9379919878,-21.6391488123,-9.30369220781
499.114510711,-116631754.164,-85991807.4853,-37306957.752,17.9507435361,-21.6382210346,-9.30280483597
499.123733794,-116567108.556,-86069703.5606,-37340446.3228,17.9634807285,-21.6373934329,-9.30196475819
499.133083303,-116502417.12,-86147596.8437,-37373931.9574,17.976202966,-21.6366705441,-9.30117399304
499.142560442,-116437679.913,-86225487.7199,-37407414.8372,17.9889096472,-21.6360570967,-9.3004346504
499.152166465,-116372896.99,-86303376.592,-37440895.1512,18.0016001674,-21.6355580243,-9.29974893751
499.161902674,-116308068.412,-86381263.8811,-37474373.0967,18.0142739182,-21.6351784792,-9.29911916561
499.171770425,-116243194.239,-86459150.027,-37507848.8793,18.0269302884,-21.6349238462,-9.29854775664
499.181771129,-116178274.535,-86537035.4894,-37541322.7136,18.0395686632,-21.6347997587,-9.29803725104
499.191906253,-116113309.367,-86614920.7489,-37574794.8238,18.0521884246,-21.6348121166,-9.29759031595
499.202177325,-116048298.802,-86692806.3078,-37608265.4435,18.0647889514,-21.6349671033,-9.29720975393
499.212585934,-115983242.91,-86770692.691,-37641734.8172,18.0773696196,-21.6352712068,-9.2968985128
499.223133734,-115918141.765,-86848580.4476,-37675203.1997,18.0899298023,-21.6357312413,-9.29665969617
499.233822448,-115852995.441,-86926470.1517,-37708670.8578,18.1024688704,-21.6363543706,-9.29649657475
499.24465387,-115787804.015,-87004362.4038,-37742138.07,18.1149861934,-21.6371481336,-9.29641259894
499.25562987,-115722567.567,-87082257.8325,-37775605.1279,18.127481139,-21.6381204732,-9.29641141256
499.266752396,-115657286.179,-87160157.0955,-37809072.3362,18.1399530753,-21.6392797657,-9.29649686755
499.27802348,-115591959.934,-87238060.8817,-37842540.0141,18.1524013707,-21.6406348555,-9.29667304057
499.289445239,-115526588.918,-87315969.9126,-37876008.4961,18.1648253958,-21.6421950912,-9.29694425086
499.301019886,-115461173.221,-87393884.9444,-37909478.1323,18.1772245247,-21.6439703654,-9.29731507984
499.312749726,-115395712.932,-87471806.7699,-37942949.29,18.1895981369,-21.6459711596,-9.29779039305
499.324637172,-115330208.145,-87549736.2207,-37976422.3547,18.2019456191,-21.6482085932,-9.29837536411
499.336684741,-115264658.956,-87627674.1699,-38009897.7308,18.2142663688,-21.6506944755,-9.29907550089
499.348895069,-115199065.46,-87705621.5341,-38043375.8435,18.2265597963,-21.653441367,-9.29989667533
499.361270911,-115133427.759,-87783579.2769,-38076857.1397,18.2388253289,-21.6564626445,-9.30084515587
499.373815154,-115067745.952,-87861548.4115,-38110342.0894,18.2510624159,-21.6597725728,-9.3019276433
499.386530819,-115002020.144,-87939530.0041,-38143831.1881,18.2632705329,-21.6633863876,-9.30315131166
499.399421078,-114936250.44,-88017525.1777,-38177324.9575,18.2754491883,-21.6673203848,-9.30452385313
499.412489256,-114870436.946,-88095535.116,-38210823.9484,18.2875979314,-21.671592021,-9.30605352815
499.425738847,-114804579.771,-88173561.0678,-38244328.7421,18.2997163602,-21.6762200273,-9.30774922259
499.439173522,-114738679.025,-88251604.3519,-38277839.9534,18.311804132,-21.681224536,-9.30962051128
499.452797145,-114672734.818,-88329666.3622,-38311358.2329,18.3238609771,-21.6866272215,-9.31167772944
499.466613784,-114606747.263,-88407748.5737,-38344884.2696,18.3358867114,-21.6924514638,-9.31393205477
499.480627728,-114540716.471,-88485852.5488,-38378418.7947,18.3478812556,-21.6987225289,-9.31639559922
